Stability_time_total_exposure,Stability_relative_humidity_average_value,JV_reverse_scan_FF,JV_default_Jsc,Cell_area_measured,JV_reverse_scan_PCE,Stability_PCE_initial_value,JV_forward_scan_Voc,JV_average_over_n_number_of_cells,Stability_light_intensity,Perovskite_deposition_number_of_deposition_steps,Stability_PCE_T80
-0.20355077926447473,-0.024932635062082383,-0.3807800724280606,-0.19813505606179638,-0.12702588382503494,-0.28335789560680685,3.4021326684439655e-16,0.10517729532002992,-0.3994420825536522,-0.6263105552575032,-0.455900990260984,220.0
-0.20355077926447473,-0.024932635062082383,0.25499478071646364,0.4212458409195871,-0.12702588382503494,0.6587282909123604,3.4021326684439655e-16,0.4270801757894065,-0.3994420825536522,-0.6263105552575032,-0.455900990260984,350.0
-0.7323412906040965,0.0,0.5685275850069145,0.6525168196207896,-0.11127848934628858,0.960678991719786,3.4021326684439655e-16,2.382559930601741e-15,-0.3994420825536522,1.6273225809778555,-0.455900990260984,200.0
0.04136272072440269,0.0,0.6991662534612689,0.6737831165128547,-0.03254151695255675,1.1974083411528076,0.254077484003539,2.382559930601741e-15,-0.3994420825536522,1.6273225809778555,-0.455900990260984,150.0
-0.18128591562912225,0.7333864905062518,0.31595949266183004,-0.14496931383163492,0.644596445633537,0.15145111355588567,-0.17684936212403315,2.382559930601741e-15,-0.3994420825536522,-0.6263105552575032,-0.455900990260984,450.0
-0.7298921556042076,0.2594370370260429,1.5004167533146422,-3.3747881543139537,-0.14828486637134253,-2.17477708546452,-1.0894566607008696,2.382559930601741e-15,0.18421489005851177,1.6273225809778555,-0.455900990260984,0.4
-0.3905756338014357,-1.6363607768947925,-0.23272291484645982,-4.794313471859269,-0.12702588382503494,-3.2569683971583334,-1.5184682764012079,2.382559930601741e-15,-0.3994420825536522,-0.6263105552575032,-0.455900990260984,216.0
-0.6933777792422295,-0.21451241645416594,0.5162721176251727,1.7689974064541845,-0.03254151695255675,0.24807533781426191,-0.1289686014431918,2.382559930601741e-15,-0.3994420825536522,-0.6263105552575032,1.9124660184676867,20.0
0.38424162070883106,0.0,0.3682149600435709,0.23782403022552914,-0.07978370038879584,0.3495307732855569,3.4021326684439655e-16,2.382559930601741e-15,2.018565375411027,-0.6263105552575032,-0.455900990260984,840.0
0.38424162070883106,0.0,-0.1717582029010944,0.27769833689815,-0.07978370038879584,-0.0925250526965141,3.4021326684439655e-16,2.382559930601741e-15,2.018565375411027,-0.6263105552575032,-0.455900990260984,120.0
